tick,price
732,1270.2
733,1270.2
734,1270
735,1270
736,1270
737,1270
738,1270
739,1270
740,1270
741,1270
742,1270
743,1270
744,1270
745,1270
746,1270
747,1270
748,1270
749,1270
750,1270
751,1269.6
752,1269.6
753,1269.6
754,1269.6
755,1269.6
756,1269.6
757,1269.6
758,1268.6
759,1268.6
760,1268.6
761,1268.6
762,1268.6
763,1268.6
764,1268.6
765,1269.8
766,1269.8
767,1268.8
768,1268.8
769,1268.8
770,1268.8
771,1268.8
772,1268.8
773,1268.8
774,1268.8
775,1268.8
776,1268.8
777,1268.8
778,1268.8
779,1268.8
780,1268.8
781,1269
782,1269
783,1269.4
784,1269.4
785,1269.4
786,1269.4
787,1269.4
788,1269.4
789,1269.4
790,1269.4
791,1269.4
792,1269.4
793,1269.4
794,1269.4
795,1269.4
796,1269.4
797,1269.4
798,1269.4
799,1269
800,1269
801,1269
802,1269
803,1269
804,1269.4
805,1269.4
806,1269.4
807,1269.4
808,1269.4
809,1269.4
810,1269.4
811,1269.4
812,1269.4
813,1269.4
814,1269.4
815,1269.4
816,1269.4
817,1269.4
818,1269.4
819,1269.4
820,1269.4
821,1268.4
822,1268.4
823,1268.4
824,1268.4
825,1268.4
826,1268.4
827,1268.4
828,1268.6
829,1268.6
830,1268.6
831,1268.8
832,1268.8
833,1268.8
834,1268.8
835,1268.8
836,1268.8
837,1268.8
838,1268.8
839,1268.8
840,1268.8
841,1268.8
842,1268.8
843,1268.8
844,1268.8
845,1268.8
846,1268.8
847,1268.8
848,1268.8
849,1268.8
850,1268.8
851,1268.8
852,1268.8
853,1268.8
854,1268.8
855,1269
856,1269
857,1269
858,1268
859,1268
860,1268
861,1268
862,1268.4
863,1268.4
864,1268.4
865,1268.4
866,1268.4
867,1268.4
868,1269
869,1269
870,1269
871,1269
872,1269
873,1269
874,1270
875,1270
876,1270
877,1270
878,1270
879,1270
880,1270
881,1270
882,1269.6
883,1269.6
884,1269.4
885,1269.4
886,1269.4
887,1269.4
888,1269.4
889,1269
890,1269
891,1269
892,1269
893,1269
894,1269
895,1269
896,1269
897,1269
898,1269
899,1269
900,1269
901,1269
902,1269
903,1269
904,1269
905,1269
906,1269
907,1269
908,1269
909,1268.8
910,1268.8
911,1268.8
912,1268.8
913,1268.8
914,1268.8
915,1268.8
916,1268.8
917,1268.8
918,1267.8
919,1267.8
920,1267.8
921,1267.8
922,1267.8
923,1268.8
